,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,1.4309579894781976,1.7403827284960294,1.370178037668875,1.4958784738604702,1.3652064909620316,1.8730324035560646,1.3380849176840295,1.364787157288391,1.3823511881450188,1.3020180679654603,1.48848210152339,1.176767979024055,1.325838544614801,1.5072409847947545,1.721372049734706,2.071525341122261,1.3631334309933065,1.608160864459678,1.265328980128589,2.3288015381984195,1.338325717539977,1.3868377718171627,1.2656873646700788
ALTO_PARANA,1.4309579894781976,0.0,2.2639423051104313,1.8937376142832765,2.019438050474872,1.888766067576433,2.396591980170466,1.8616444942984314,1.8883467339027924,1.9059107647594207,1.8255776445798617,2.0120416781377917,1.7003275556384565,1.8493981212292026,2.030800561409156,2.244931626349108,2.595084917736662,1.8866930076077084,2.13172044107408,1.7888885567429906,2.852361114812821,1.8618852941543784,1.9103973484315642,1.7892469412844807
AMAMBAY,1.7403827284960294,2.2639423051104313,0.0,2.203162353301108,2.3288627894927036,2.198190806594265,2.7060167191882982,2.171069233316263,2.1977714729206244,2.2153355037772524,2.1350023835976937,2.3214664171556234,2.0097522946562885,2.1588228602470347,2.340225300426988,2.55435636536694,2.904509656754494,2.19611774662554,2.4411451800919117,2.0983132957608226,3.161785853830653,2.17131003317221,2.219822087449396,2.098671680302312
ASUNCION,1.370178037668875,1.8937376142832765,2.203162353301108,0.0,1.958658098665549,1.82798611576711,2.335812028361143,1.8008645424891085,1.8275667820934698,1.8451308129500976,1.764797692770539,1.9512617263284688,1.6395476038291337,1.7886181694198797,1.9700206095998334,2.184151674539785,2.5343049659273396,1.8259130557983851,2.070940489264757,1.7281086049336676,2.791581163003498,1.8011053423450558,1.8496173966222413,1.7284669894751572
BOQUERON,1.4958784738604702,2.019438050474872,2.3288627894927036,1.958658098665549,0.0,1.9536865519587057,2.461512464552739,1.9265649786807035,1.953267218285065,1.9708312491416933,1.8904981289621343,2.076962162520064,1.7652480400207289,1.9143186056114752,2.0957210457914286,2.3098521107313803,2.660005402118935,1.9516134919899806,2.1966409254563524,1.8538090411252632,2.917281599195093,1.926805778536651,1.9753178328138368,1.8541674256667529
CAAGUAZU,1.3652064909620316,1.888766067576433,2.198190806594265,1.82798611576711,1.9536865519587057,0.0,2.3308404816543,1.7958929957822651,1.8225952353866264,1.8401592662432542,1.7598261460636955,1.9462901796216254,1.6345760571222903,1.7836466227130365,1.96504906289299,2.1791801278329417,2.529333419220496,1.8209415090915417,2.0659689425579137,1.7231370582268244,2.786609616296655,1.7961337956382124,1.8446458499153977,1.723495442768314
CAAZAPA,1.8730324035560646,2.396591980170466,2.7060167191882982,2.335812028361143,2.461512464552739,2.3308404816543,0.0,2.303718908376298,2.3304211479806596,2.347985178837287,2.267652058657729,2.4541160922156586,2.1424019697163232,2.2914725353070695,2.472874975487023,2.6870060404269744,3.037159331814529,2.328767421685575,2.5737948551519465,2.2309629708208574,3.294435528890688,2.3039597082322456,2.352471762509431,2.231321355362347
CANINDEYU,1.3380849176840295,1.8616444942984314,2.171069233316263,1.8008645424891085,1.9265649786807035,1.7958929957822651,2.303718908376298,0.0,1.7954736621086242,1.813037692965252,1.7327045727856938,1.9191686063436233,1.6074544838442881,1.7565250494350344,1.9379274896149878,2.1520585545549396,2.5022118459424942,1.7938199358135403,2.0388473692799116,1.6960154849488225,2.759488043018653,1.7690122223602103,1.8175242766373962,1.696373869490312
CENTRAL,1.364787157288391,1.8883467339027924,2.1977714729206244,1.8275667820934698,1.953267218285065,1.8225952353866264,2.3304211479806596,1.7954736621086242,0.0,1.8397399325696135,1.759406812390055,1.9458708459479848,1.6341567234486494,1.7832272890393954,1.964629729219349,2.178760794159301,2.5289140855468557,1.8205221754179013,2.065549608884273,1.722717724553184,2.786190282623014,1.7957144619645715,1.8442265162417575,1.7230761090946736
CENTRO_EST,1.3823511881450188,1.9059107647594207,2.2153355037772524,1.8451308129500976,1.9708312491416933,1.8401592662432542,2.347985178837287,1.813037692965252,1.8397399325696135,0.0,1.7769708432466829,1.963434876804613,1.6517207543052776,1.800791319896024,1.9821937600759771,2.196324825015929,2.5464781164034833,1.8380862062745296,2.083113639740901,1.7402817554098118,2.8037543134796423,1.8132784928211996,1.8617905470983853,1.7406401399513014
CENTRO_NORTE,1.3020180679654603,1.8255776445798617,2.1350023835976937,1.764797692770539,1.8904981289621343,1.7598261460636955,2.267652058657729,1.7327045727856938,1.759406812390055,1.7769708432466829,0.0,1.883101756625054,1.571387634125719,1.7204581997164652,1.9018606398964186,2.1159917048363703,2.466144996223925,1.7577530860949706,2.0027805195613424,1.659948635230253,2.7234211933000836,1.732945372641641,1.7814574269188268,1.6603070197717427
CENTRO_SUR,1.48848210152339,2.0120416781377917,2.3214664171556234,1.9512617263284688,2.076962162520064,1.9462901796216254,2.4541160922156586,1.9191686063436233,1.9458708459479848,1.963434876804613,1.883101756625054,0.0,1.7578516676836486,1.906922233274395,2.0883246734543484,2.3024557383943,2.6526090297818548,1.9442171196529003,2.189244553119272,1.846412668788183,2.909885226858013,1.9194094061995708,1.9679214604767565,1.8467710533296726
CHACO,1.176767979024055,1.7003275556384565,2.0097522946562885,1.6395476038291337,1.7652480400207289,1.6345760571222903,2.1424019697163232,1.6074544838442881,1.6341567234486494,1.6517207543052776,1.571387634125719,1.7578516676836486,0.0,1.59520811077506,1.7766105509550132,1.9907416158949651,2.34089490728252,1.6325029971535654,1.877530430619937,1.5346985462888478,2.5981711043586784,1.6076952837002356,1.6562073379774214,1.5350569308303375
CONCEPCION,1.325838544614801,1.8493981212292026,2.1588228602470347,1.7886181694198797,1.9143186056114752,1.7836466227130365,2.2914725353070695,1.7565250494350344,1.7832272890393954,1.800791319896024,1.7204581997164652,1.906922233274395,1.59520811077506,0.0,1.9256811165457595,2.1398121814857114,2.4899654728732656,1.7815735627443117,2.0266009962106835,1.683769111879594,2.7472416699494246,1.7567658492909815,1.8052779035681674,1.684127496421084
CORDILLERA,1.5072409847947545,2.030800561409156,2.340225300426988,1.9700206095998334,2.0957210457914286,1.96504906289299,2.472874975487023,1.9379274896149878,1.964629729219349,1.9821937600759771,1.9018606398964186,2.0883246734543484,1.7766105509550132,1.9256811165457595,0.0,2.3212146216656646,2.6713679130532193,1.9629760029242649,2.2080034363906367,1.8651715520595475,2.928644110129378,1.9381682894709353,1.986680343748121,1.8655299366010372
GUAIRA,1.721372049734706,2.244931626349108,2.55435636536694,2.184151674539785,2.3098521107313803,2.1791801278329417,2.6870060404269744,2.1520585545549396,2.178760794159301,2.196324825015929,2.1159917048363703,2.3024557383943,1.9907416158949651,2.1398121814857114,2.3212146216656646,0.0,2.885498977993171,2.177107067864217,2.4221345013305884,2.0793026169994993,3.1427751750693296,2.152299354410887,2.2008114086880726,2.079661001540989
ITAPUA,2.071525341122261,2.595084917736662,2.904509656754494,2.5343049659273396,2.660005402118935,2.529333419220496,3.037159331814529,2.5022118459424942,2.5289140855468557,2.5464781164034833,2.466144996223925,2.6526090297818548,2.34089490728252,2.4899654728732656,2.6713679130532193,2.885498977993171,0.0,2.527260359251771,2.7722877927181426,2.429455908387054,3.4929284664568834,2.5024526457984417,2.5509647000756273,2.4298142929285436
METROPOLITANO,1.3631334309933065,1.8866930076077084,2.19611774662554,1.8259130557983851,1.9516134919899806,1.8209415090915417,2.328767421685575,1.7938199358135403,1.8205221754179013,1.8380862062745296,1.7577530860949706,1.9442171196529003,1.6325029971535654,1.7815735627443117,1.9629760029242649,2.177107067864217,2.527260359251771,0.0,2.063895882589189,1.7210639982580993,2.78453655632793,1.7940607356694873,1.842572789946673,1.7214223827995891
MISIONES,1.608160864459678,2.13172044107408,2.4411451800919117,2.070940489264757,2.1966409254563524,2.0659689425579137,2.5737948551519465,2.0388473692799116,2.065549608884273,2.083113639740901,2.0027805195613424,2.189244553119272,1.877530430619937,2.0266009962106835,2.2080034363906367,2.4221345013305884,2.7722877927181426,2.063895882589189,0.0,1.966091431724471,3.0295639897943016,2.039088169135859,2.0876002234130446,1.9664498162659612
NEEMBUCU,1.265328980128589,1.7888885567429906,2.0983132957608226,1.7281086049336676,1.8538090411252632,1.7231370582268244,2.2309629708208574,1.6960154849488225,1.722717724553184,1.7402817554098118,1.659948635230253,1.846412668788183,1.5346985462888478,1.683769111879594,1.8651715520595475,2.0793026169994993,2.429455908387054,1.7210639982580993,1.966091431724471,0.0,2.6867321054632125,1.69625628480477,1.7447683390819553,1.6236179319348716
PARAGUARI,2.3288015381984195,2.852361114812821,3.161785853830653,2.791581163003498,2.917281599195093,2.786609616296655,3.294435528890688,2.759488043018653,2.786190282623014,2.8037543134796423,2.7234211933000836,2.909885226858013,2.5981711043586784,2.7472416699494246,2.928644110129378,3.1427751750693296,3.4929284664568834,2.78453655632793,3.0295639897943016,2.6867321054632125,0.0,2.7597288428746,2.808240897151786,2.6870904900047026
PARAGUAY,1.338325717539977,1.8618852941543784,2.17131003317221,1.8011053423450558,1.926805778536651,1.7961337956382124,2.3039597082322456,1.7690122223602103,1.7957144619645715,1.8132784928211996,1.732945372641641,1.9194094061995708,1.6076952837002356,1.7567658492909815,1.9381682894709353,2.152299354410887,2.5024526457984417,1.7940607356694873,2.039088169135859,1.69625628480477,2.7597288428746,0.0,1.8177650764933435,1.6966146693462594
PTE_HAYES,1.3868377718171627,1.9103973484315642,2.219822087449396,1.8496173966222413,1.9753178328138368,1.8446458499153977,2.352471762509431,1.8175242766373962,1.8442265162417575,1.8617905470983853,1.7814574269188268,1.9679214604767565,1.6562073379774214,1.8052779035681674,1.986680343748121,2.2008114086880726,2.5509647000756273,1.842572789946673,2.0876002234130446,1.7447683390819553,2.808240897151786,1.8177650764933435,0.0,1.745126723623445
SAN_PEDRO,1.2656873646700788,1.7892469412844807,2.098671680302312,1.7284669894751572,1.8541674256667529,1.723495442768314,2.231321355362347,1.696373869490312,1.7230761090946736,1.7406401399513014,1.6603070197717427,1.8467710533296726,1.5350569308303375,1.684127496421084,1.8655299366010372,2.079661001540989,2.4298142929285436,1.7214223827995891,1.9664498162659612,1.6236179319348716,2.6870904900047026,1.6966146693462594,1.745126723623445,0.0
