,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.42257312374281825,0.5122751301050291,0.44337309854387413,0.4797947392431079,0.4713052974143541,0.8602341997338879,0.44906179150020326,0.39596272333546384,0.438564997503523,0.40325057855172713,0.5138840100640226,0.4814043014328681,0.5696381415082232,0.49715657775825944,0.7755843048787829,1.0421963005383839,0.40637261596968094,0.761995436066416,0.4596482766784507,1.1112762182782785,0.40687515829931914,0.6583421947815484,0.3774471761503844
ALTO_PARANA,0.42257312374281825,0.0,0.49080193246566245,0.42189990090450746,0.4583215416037412,0.4498320997749874,0.838761002094521,0.4275885938608364,0.3744895256960971,0.4170917998641562,0.3817773809123604,0.49241081242465584,0.4599311037935013,0.5481649438688565,0.4756833801188927,0.7541111072394163,1.0207231028990174,0.3848994183303142,0.7405222384270492,0.4381750790390841,1.089803020638912,0.3854019606599524,0.6368689971421818,0.3559739785110177
AMAMBAY,0.5122751301050291,0.49080193246566245,0.0,0.5116019072667184,0.5480235479659522,0.5395341061371983,0.928463008456732,0.5172906002230474,0.4641915320583081,0.5067938062263672,0.47147938727457134,0.5821128187868668,0.5496331101557123,0.6378669502310675,0.5653853864811036,0.8438131136016273,1.110425109261228,0.47460142469252514,0.8302242447892603,0.527877085401295,1.179505027001123,0.47510396702216334,0.7265710035043927,0.4456759848732286
ASUNCION,0.44337309854387413,0.42189990090450746,0.5116019072667184,0.0,0.4791215164047971,0.4706320745760433,0.859560976895577,0.4483885686618924,0.39528950049715306,0.43789177466521206,0.4025773557134163,0.5132107872257118,0.48073107859455727,0.5689649186699125,0.49648335491994855,0.7749110820404722,1.0415230777000732,0.4056993931313701,0.7613222132281052,0.45897505384014,1.1106029954399679,0.4062019354610083,0.6576689719432377,0.3767739533120737
BOQUERON,0.4797947392431079,0.4583215416037412,0.5480235479659522,0.4791215164047971,0.0,0.5070537152752771,0.8959826175948108,0.4848102093611262,0.4317111411963868,0.47431341536444593,0.4389989964126501,0.5496324279249456,0.517152719293791,0.6053865593691462,0.5329049956191824,0.811332722739706,1.077944718399307,0.44212103383060386,0.797743853927339,0.49539669453937374,1.1470246361392016,0.4426235761602421,0.6940906126424714,0.41319559401130745
CAAGUAZU,0.4713052974143541,0.4498320997749874,0.5395341061371983,0.4706320745760433,0.5070537152752771,0.0,0.8874931757660569,0.47632076753237235,0.423221699367633,0.4658239735356921,0.43050955458389634,0.5411429860961917,0.5086632774650373,0.5968971175403924,0.5244155537904286,0.8028432809109521,1.0694552765705532,0.4336315920018501,0.7892544120985852,0.4869072527106199,1.1385351943104478,0.43413413433148834,0.6856011708137176,0.4047061521825536
CAAZAPA,0.8602341997338879,0.838761002094521,0.928463008456732,0.859560976895577,0.8959826175948108,0.8874931757660569,0.0,0.865249669851906,0.8121506016871667,0.8547528758552257,0.81943845690343,0.9300718884157254,0.8975921797845708,0.9858260198599261,0.9133444561099623,1.191772183230486,1.4583841788900866,0.8225604943213837,1.1781833144181189,0.8758361550301537,1.5274640966299815,0.823063036651022,1.0745300731332514,0.7936350545020873
CANINDEYU,0.44906179150020326,0.4275885938608364,0.5172906002230474,0.4483885686618924,0.4848102093611262,0.47632076753237235,0.865249669851906,0.0,0.4009781934534821,0.44358046762154113,0.40826604866974536,0.5188994801820408,0.4864197715508863,0.5746536116262414,0.5021720478762776,0.7805997749968013,1.0472117706564021,0.4113880860876991,0.7670109061844341,0.464663746796469,1.116291688396297,0.41189062841733737,0.6633576648995667,0.38246264626840265
CENTRAL,0.39596272333546384,0.3744895256960971,0.4641915320583081,0.39528950049715306,0.4317111411963868,0.423221699367633,0.8121506016871667,0.4009781934534821,0.0,0.3904813994568019,0.355166980505006,0.46580041201730144,0.433320703386147,0.5215545434615021,0.4490729797115383,0.7275007068320619,0.994112702491663,0.3582890179229598,0.7139118380196948,0.4115646786317296,1.0631926202315576,0.358791560252598,0.6102585967348273,0.32936357810366335
CENTRO_EST,0.438564997503523,0.4170917998641562,0.5067938062263672,0.43789177466521206,0.47431341536444593,0.4658239735356921,0.8547528758552257,0.44358046762154113,0.3904813994568019,0.0,0.3977692546730651,0.5084026861853606,0.47592297755420604,0.5641568176295612,0.4916752538795974,0.7701029810001211,1.0367149766597221,0.40089129209101887,0.756514112187754,0.4541669527997887,1.1057948943996168,0.4013938344206571,0.6528608709028864,0.3719658522717224
