,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,Centro_est,Centro_norte,Centro_sur,Chaco,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,Metropolitano,MISIONES,NEEMBUCU,PARAGUARI,Paraguay,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,1.205596031924715,1.5254313687248287,0.980444196238149,1.1276058923615828,1.1264337232036234,1.5382887615119685,1.01929623168088,0.9848939090418547,1.1103112281385081,1.0233563421271656,1.2471617382038083,0.8913459873466483,1.0561903101877188,1.1376794578142804,1.4376243395848107,1.901170314943012,0.9806789209873895,1.3220788305846365,1.0686416580623306,1.998039962889565,0.993830223162696,1.1189379445350502,0.9584221411711707
ALTO_PARANA,1.205596031924715,0.0,2.0274603512469205,1.4824731787602403,1.6296348748836742,1.628462705725715,2.04031774403406,1.5213252142029716,1.486922891563946,1.6123402106605997,1.5253853246492575,1.7491907207258999,1.3933749698687397,1.5582192927098102,1.6397084403363722,1.9396533221069021,2.4031992974651035,1.482707903509481,1.8241078131067276,1.5706706405844224,2.5000689454116567,1.4958592056847875,1.620966927057142,1.460451123693262
AMAMBAY,1.5254313687248287,2.0274603512469205,0.0,1.8023085155603542,1.9494702116837879,1.9482980425258287,2.3601530808341735,1.8411605510030853,1.8067582283640597,1.9321755474607134,1.8452206614493711,2.0690260575260138,1.7132103066688533,1.8780546295099239,1.9595437771364859,2.259488658907016,2.723034634265217,1.8025432403095947,2.1439431499068413,1.890505977384536,2.819904282211771,1.8156945424849011,1.9408022638572557,1.780286460493376
ASUNCION,0.980444196238149,1.4824731787602403,1.8023085155603542,0.0,1.4044830391971084,1.4033108700391492,1.8151659083474943,1.2961733785164056,1.2617710558773803,1.3871883749740335,1.3002334889626912,1.5240388850393336,1.1682231341821738,1.3330674570232441,1.414556604649806,1.7145014864203363,2.1780474617785375,1.257556067822915,1.598955977420162,1.3455188048978561,2.274917109725091,1.2707073699982214,1.3958150913705758,1.2352992880066964
BOQUERON,1.1276058923615828,1.6296348748836742,1.9494702116837879,1.4044830391971084,0.0,1.5504725661625827,1.9623276044709277,1.4433350746398395,1.4089327520008137,1.5343500710974673,1.447395185086125,1.6712005811627675,1.3153848303056075,1.480229153146678,1.56171830077324,1.8616631825437697,2.325209157901971,1.4047177639463486,1.7461176735435957,1.49268050102129,2.4220788058485243,1.4178690661216553,1.5429767874940092,1.3824609841301303
CAAGUAZU,1.1264337232036234,1.628462705725715,1.9482980425258287,1.4033108700391492,1.5504725661625827,0.0,1.9611554353129685,1.44216290548188,1.4077605828428545,1.5331779019395082,1.446223015928166,1.6700284120048081,1.3142126611476483,1.4790569839887189,1.5605461316152807,1.8604910133858106,2.324036988744012,1.4035455947883895,1.7449455043856366,1.4915083318633309,2.420906636690565,1.4166968969636962,1.54180461833605,1.3812888149721712
CAAZAPA,1.5382887615119685,2.04031774403406,2.3601530808341735,1.8151659083474943,1.9623276044709277,1.9611554353129685,0.0,1.854017943790225,1.8196156211511996,1.9450329402478534,1.8580780542365105,2.0818834503131534,1.7260676994559934,1.8909120222970637,1.9724011699236257,2.272346051694156,2.7358920270523566,1.8154006330967345,2.1568005426939814,1.9033633701716761,2.832761674998911,1.828551935272041,1.9536596566443951,1.793143853280516
CANINDEYU,1.01929623168088,1.5213252142029716,1.8411605510030853,1.2961733785164056,1.4433350746398395,1.44216290548188,1.854017943790225,0.0,1.3006230913201113,1.4260404104167648,1.3390855244054223,1.562890920482065,1.207075169624905,1.3719194924659754,1.453408640092537,1.7533535218630674,2.2168994972212683,1.296408103265646,1.6378080128628933,1.3843708403405872,2.313769145167822,1.3095594054409527,1.4346671268133069,1.2741513234494273
CENTRAL,0.9848939090418547,1.486922891563946,1.8067582283640597,1.2617710558773803,1.4089327520008137,1.4077605828428545,1.8196156211511996,1.3006230913201113,0.0,1.3916380877777392,1.3046832017663967,1.5284885978430396,1.1726728469858796,1.33751716982695,1.4190063174535117,1.7189511992240416,2.182497174582243,1.2620057806266205,1.6034056902238676,1.3499685177015621,2.2793668225287966,1.2751570828019272,1.4002648041742816,1.239749000810402
Centro_est,1.1103112281385081,1.6123402106605997,1.9321755474607134,1.3871883749740335,1.5343500710974673,1.5331779019395082,1.9450329402478534,1.4260404104167648,1.3916380877777392,0.0,1.4301005208630506,1.653905916939693,1.298090166082533,1.4629344889236036,1.5444236365501653,1.8443685183206953,2.3079144936788967,1.3874230997232744,1.7288230093205212,1.4753858367982156,2.4047841416254503,1.4005744018985808,1.5256821232709352,1.3651663199070556
