,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.4593823241878893,0.5467553414057306,0.45892518347351413,0.5432646916018585,0.5038435026131599,0.8838769726612354,0.4681017821805911,0.4102145168800207,0.4649486977916852,0.42679500290287825,0.553925610876202,0.4958502803796017,0.6002302522574826,0.5230824871388553,0.7908335183014309,1.1138511085948406,0.42104550376761063,0.766556042456914,0.4953208983913342,1.1182605222520723,0.42476800877588133,0.6723404111209433,0.3977428547400202
ALTO_PARANA,0.4593823241878893,0.0,0.5529701314304389,0.4651399734982225,0.549479481626567,0.5100582926378684,0.8900917626859438,0.47431657220529955,0.4164293069047291,0.47116348781639356,0.4330097929275866,0.5601404009009103,0.50206507040431,0.6064450422821909,0.5292972771635637,0.7970483083261394,1.1200658986195489,0.42726029379231906,0.7727708324816224,0.5015356884160426,1.1244753122767808,0.4309827988005897,0.6785552011456518,0.4039576447647286
AMAMBAY,0.5467553414057306,0.5529701314304389,0.0,0.5525129907160639,0.6368524988444083,0.5974313098557097,0.9774647799037851,0.561689589423141,0.5038023241225704,0.5585365050342349,0.5203828101454281,0.6475134181187517,0.5894380876221516,0.6938180595000323,0.616670294381405,0.8844213255439808,1.2074389158373904,0.5146333110101603,0.8601438496994639,0.5889087056338839,1.2118483294946223,0.5183558160184312,0.7659282183634931,0.49133066198256997
ASUNCION,0.45892518347351413,0.4651399734982225,0.5525129907160639,0.0,0.5490223409121918,0.5096011519234932,0.8896346219715688,0.4738594314909244,0.415972166190354,0.4707063471020185,0.4325526522132115,0.5596832601865352,0.5016079296899351,0.6059879015678158,0.5288401364491886,0.7965911676117643,1.119608757905174,0.42680315307794386,0.7723136917672472,0.5010785477016676,1.1240181715624056,0.4305256580862147,0.6780980604312766,0.4035005040503535
BOQUERON,0.5432646916018585,0.549479481626567,0.6368524988444083,0.5490223409121918,0.0,0.5939406600518377,0.9739741300999132,0.5581989396192689,0.5003116743186985,0.5550458552303629,0.5168921603415559,0.6440227683148797,0.5859474378182795,0.6903274096961601,0.613179644577533,0.8809306757401089,1.2039482660335183,0.5111426612062883,0.8566531998955917,0.585418055830012,1.20835767969075,0.5148651662145591,0.762437568559621,0.48784001217869805
CAAGUAZU,0.5038435026131599,0.5100582926378684,0.5974313098557097,0.5096011519234932,0.5939406600518377,0.0,0.9345529411112145,0.5187777506305702,0.4608904853299998,0.5156246662416643,0.4774709713528573,0.604601579326181,0.5465262488295809,0.6509062207074616,0.5737584555888343,0.8415094867514101,1.1645270770448197,0.4717214722175897,0.8172320109068932,0.5459968668413132,1.1689364907020514,0.47544397722586046,0.7230163795709225,0.4484188231899993
CAAZAPA,0.8838769726612354,0.8900917626859438,0.9774647799037851,0.8896346219715688,0.9739741300999132,0.9345529411112145,0.0,0.8988112206786458,0.8409239553780754,0.8956581362897399,0.8575044414009328,0.9846350493742566,0.9265597188776565,1.030939690755537,0.95379192563691,1.2215429567994855,1.5445605470928951,0.8517549422656652,1.1972654809549688,0.9260303368893888,1.548969960750127,0.855477447273936,1.103049849618998,0.8284522932380748
CANINDEYU,0.4681017821805911,0.47431657220529955,0.561689589423141,0.4738594314909244,0.5581989396192689,0.5187777506305702,0.8988112206786458,0.0,0.42514876489743103,0.47988294580909546,0.44172925092028853,0.5688598588936123,0.510784528397012,0.6151645002748928,0.5380167351562656,0.8057677663188413,1.1287853566122508,0.43597975178502085,0.7814902904743244,0.5102551464087445,1.1331947702694827,0.4397022567932917,0.6872746591383536,0.4126771027574305
CENTRAL,0.4102145168800207,0.4164293069047291,0.5038023241225704,0.415972166190354,0.5003116743186985,0.4608904853299998,0.8409239553780754,0.42514876489743103,0.0,0.42199568050852504,0.3838419856197181,0.5109725935930419,0.4528972630964416,0.5572772349743224,0.4801294698556951,0.7478805010182707,1.0708980913116803,0.37809248648445043,0.7236030251737539,0.4523678811081741,1.0753075049689123,0.3818149914927212,0.6293873938377832,0.3547898374568601
CENTRO_EST,0.4649486977916852,0.47116348781639356,0.5585365050342349,0.4707063471020185,0.5550458552303629,0.5156246662416643,0.8956581362897399,0.47988294580909546,0.42199568050852504,0.0,0.43857616653138254,0.5657067745047063,0.5076314440081061,0.6120114158859867,0.5348636507673596,0.8026146819299352,1.125632272223345,0.4328266673961149,0.7783372060854182,0.5071020620198385,1.1300416858805766,0.43654917240438573,0.6841215747494477,0.40952401836852453
