,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.38218133969725665,0.4563388613485156,0.417966447984675,0.465404931099101,0.41673141925698065,0.8069668050866232,0.3945484661289082,0.3675899348536232,0.39277234316583903,0.3653939058505646,0.4792665983761882,0.4618277228145175,0.5223353124963578,0.4776595498555795,0.7148268688577772,0.9957589366950396,0.3789158730855733,0.7453398127636084,0.41975284402662694,1.0835447457797143,0.3759799543353523,0.6370917993566579,0.3553770086584301
ALTO_PARANA,0.38218133969725665,0.0,0.4141649744961726,0.375792561132332,0.4232310442467579,0.37455753240463757,0.7647929182342802,0.3523745792765651,0.32541604800128016,0.350598456313496,0.3232200189982215,0.43709271152384516,0.4196538359621744,0.48016142564401476,0.4354856630032364,0.6726529820054341,0.9535850498426964,0.3367419862332303,0.7031659259112653,0.37757895717428386,1.0413708589273714,0.3338060674830093,0.5949179125043149,0.31320312180608706
AMAMBAY,0.4563388613485156,0.4141649744961726,0.0,0.44995008278359094,0.4973885658980169,0.4487150540558966,0.8389504398855392,0.4265321009278242,0.39957356965253915,0.424755977964755,0.39737754064948055,0.5112502331751041,0.49381135761343337,0.5543189472952738,0.5096431846544953,0.7468105036566932,1.0277425714939554,0.41089950788448926,0.7773234475625243,0.45173647882554285,1.1155283805786302,0.4079635891342683,0.6690754341555739,0.387360643457346
ASUNCION,0.417966447984675,0.375792561132332,0.44995008278359094,0.0,0.4590161525341763,0.410342640692056,0.8005780265216987,0.3881596875639835,0.36120115628869853,0.3863835646009144,0.3590051272856399,0.4728778198112635,0.4554389442495928,0.5159465339314332,0.47127077129065476,0.7084380902928525,0.9893701581301149,0.37252709452064864,0.7389510341986837,0.4133640654617022,1.0771559672147897,0.3695911757704276,0.6307030207917332,0.34898823009350544
BOQUERON,0.465404931099101,0.4232310442467579,0.4973885658980169,0.4590161525341763,0.0,0.45778112380648195,0.8480165096361246,0.4355981706784095,0.4086396394031245,0.43382204771534033,0.4064436104000659,0.5203163029256895,0.5028774273640187,0.5633850170458591,0.5187092544050808,0.7558765734072784,1.0368086412445408,0.4199655776350746,0.7863895173131098,0.46080254857612823,1.1245944503292156,0.4170296588848536,0.6781415039061592,0.3964267132079313
CAAGUAZU,0.41673141925698065,0.37455753240463757,0.4487150540558966,0.410342640692056,0.45778112380648195,0.0,0.7993429977940042,0.3869246588362891,0.35996612756100416,0.38514853587322,0.3577700985579455,0.47164279108356916,0.4542039155218984,0.5147115052037389,0.4700357425629604,0.7072030615651581,0.9881351294024204,0.3712920657929542,0.7377160054709894,0.41212903673400786,1.0759209384870954,0.3683561470427333,0.6294679920640389,0.34775320136581106
CAAZAPA,0.8069668050866232,0.7647929182342802,0.8389504398855392,0.8005780265216987,0.8480165096361246,0.7993429977940042,0.0,0.7771600446659317,0.7502015133906467,0.7753839217028627,0.7480054843875883,0.8618781769132119,0.8444393013515411,0.9049468910333814,0.8602711283926031,1.097438447394801,1.3783705152320629,0.7615274516225968,1.127951391300632,0.8023644225636506,1.466156324316738,0.758591532872376,1.0197033778936815,0.7379885871954537
CANINDEYU,0.3945484661289082,0.3523745792765651,0.4265321009278242,0.3881596875639835,0.4355981706784095,0.3869246588362891,0.7771600446659317,0.0,0.33778317443293177,0.3629655827451476,0.33558714542987306,0.44945983795549665,0.43202096239382604,0.4925285520756663,0.447852789434888,0.6850201084370857,0.965952176274348,0.3491091126648818,0.7155330523429169,0.38994608360593547,1.053737985359023,0.34617319391466084,0.6072850389359664,0.32557024823773856
CENTRAL,0.3675899348536232,0.32541604800128016,0.39957356965253915,0.36120115628869853,0.4086396394031245,0.35996612756100416,0.7502015133906467,0.33778317443293177,0.0,0.3360070514698626,0.3086286141545881,0.4225013066802117,0.40506243111854107,0.4655700208003813,0.42089425815960296,0.6580615771618007,0.938993644999063,0.32215058138959685,0.6885745210676318,0.36298755233065044,1.0267794540837378,0.31921466263937587,0.5803265076606815,0.2986117169624536
CENTRO_EST,0.39277234316583903,0.350598456313496,0.424755977964755,0.3863835646009144,0.43382204771534033,0.38514853587322,0.7753839217028627,0.3629655827451476,0.3360070514698626,0.0,0.3338110224668039,0.44768371499242754,0.4302448394307568,0.49075242911259714,0.44607666647181876,0.6832439854740165,0.9641760533112788,0.3473329897018127,0.7137569293798478,0.3881699606428663,1.051961862395954,0.3443970709515917,0.6055089159728974,0.32379412527466944
