,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,Centro_est,Centro_norte,Centro_sur,Chaco,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,Metropolitano,MISIONES,NEEMBUCU,PARAGUARI,Paraguay,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,1.3750242781582926,1.6888461733378601,1.2916603053143298,1.3917678116515304,1.3009737848962537,1.772870881132331,1.2504851400094763,1.286128562236136,1.3128520910924488,1.232230537887624,1.4409304136392267,1.1044055735944944,1.267107757964366,1.4211552361762758,1.6535002769328748,2.0329137897483536,1.2845067045129166,1.551862073659535,1.2229972643779252,2.274853712920283,1.2636282044475413,1.327714157752232,1.1847730690454816
ALTO_PARANA,1.3750242781582926,0.0,2.208901947915575,1.8117160798920453,1.9118235862292459,1.8210295594739694,2.2929266557100463,1.7705409145871915,1.8061843368138515,1.8329078656701638,1.7522863124653394,1.960986188216942,1.6244613481722097,1.7871635325420812,1.9412110107539913,2.1735560515105896,2.552969564326069,1.8045624790906318,2.0719178482372502,1.7430530389556402,2.794909487497998,1.7836839790252565,1.8477699323299472,1.704828843623197
AMAMBAY,1.6888461733378601,2.208901947915575,0.0,2.1255379750716124,2.225645481408813,2.1348514546535364,2.6067485508896135,2.0843628097667586,2.1200062319934188,2.146729760849731,2.066108207644907,2.274808083396509,1.938283243351777,2.100985427721648,2.2550329059335588,2.4873779466901573,2.8667914595056363,2.118384374270199,2.3857397434168175,2.0568749341352075,3.1087313826775653,2.097505874204824,2.1615918275095143,2.0186507388027644
ASUNCION,1.2916603053143298,1.8117160798920453,2.1255379750716124,0.0,1.8284596133852828,1.7376655866300064,2.2095626828660837,1.687176941743229,1.7228203639698885,1.7495438928262008,1.6689223396213766,1.877622215372979,1.5410973753282466,1.7037995596981184,1.8578470379100283,2.090192078666627,2.469605591482106,1.721198506246669,1.9885538753932872,1.6596890661116779,2.7115455146540355,1.700320006181294,1.7644059594859847,1.621464870779234
BOQUERON,1.3917678116515304,1.9118235862292459,2.225645481408813,1.8284596133852828,0.0,1.8377730929672067,2.3096701892032843,1.7872844480804293,1.8229278703070892,1.8496513991634016,1.769029845958577,1.9777297217101797,1.6412048816654474,1.803907066035319,1.9579545442472288,2.1902995850038276,2.569713097819307,1.8213060125838698,2.0886613817304878,1.7597965724488784,2.8116530209912356,1.8004275125184945,1.864513465823185,1.7215723771164348
CAAGUAZU,1.3009737848962537,1.8210295594739694,2.1348514546535364,1.7376655866300064,1.8377730929672067,0.0,2.218876162448008,1.6964904213251526,1.7321338435518125,1.758857372408125,1.6782358192033004,1.886935694954903,1.5504108549101707,1.7131130392800422,1.8671605174919523,2.0995055582485507,2.47891907106403,1.7305119858285931,1.997867354975211,1.6690025456936015,2.720858994235959,1.709633485763218,1.7737194390679083,1.6307783503611581
CAAZAPA,1.772870881132331,2.2929266557100463,2.6067485508896135,2.2095626828660837,2.3096701892032843,2.218876162448008,0.0,2.16838751756123,2.20403093978789,2.2307544686442022,2.1501329154393782,2.3588327911909803,2.022307951146248,2.1850101355161193,2.3390576137280297,2.5714026544846287,2.9508161673001077,2.2024090820646705,2.469764451211289,2.140899641929679,3.1927560904720362,2.181530581999295,2.2456165353039856,2.1026754465972357
CANINDEYU,1.2504851400094763,1.7705409145871915,2.0843628097667586,1.687176941743229,1.7872844480804293,1.6964904213251526,2.16838751756123,0.0,1.681645198665035,1.7083687275213475,1.627747174316523,1.8364470500681254,1.4999222100233933,1.6626243943932648,1.8166718726051745,2.0490169133617733,2.4284304261772522,1.6800233409418153,1.9473787100884339,1.618513900806824,2.670370349349182,1.65914484087644,1.723230794181131,1.5802897054743805
CENTRAL,1.286128562236136,1.8061843368138515,2.1200062319934188,1.7228203639698885,1.8229278703070892,1.7321338435518125,2.20403093978789,1.681645198665035,0.0,1.7440121497480072,1.6633905965431826,1.8720904722947853,1.535565632250053,1.6982678166199243,1.8523152948318344,2.0846603355884334,2.4640738484039124,1.7156667631684754,1.9830221323150934,1.654157323033484,2.7060137715758414,1.6947882631031002,1.7588742164077906,1.6159331277010403
Centro_est,1.3128520910924488,1.8329078656701638,2.146729760849731,1.7495438928262008,1.8496513991634016,1.758857372408125,2.2307544686442022,1.7083687275213475,1.7440121497480072,0.0,1.6901141253994953,1.8988140011510979,1.5622891611063654,1.7249913454762371,1.8790388236881472,2.1113838644447456,2.490797377260225,1.7423902920247878,2.009745661171406,1.6808808518897964,2.7327373004321545,1.7215117919594125,1.7855977452641032,1.6426566565573528
Centro_norte,1.232230537887624,1.7522863124653394,2.066108207644907,1.6689223396213766,1.769029845958577,1.6782358192033004,2.1501329154393782,1.627747174316523,1.6633905965431826,1.6901141253994953,0.0,1.8181924479462734,1.4816676079015412,1.6443697922714124,1.7984172704833226,2.0307623112399216,2.4101758240554005,1.6617687388199631,1.9291241079665813,1.600259298684972,2.6521157472273296,1.6408902387545883,1.7049761920592788,1.5620351033525282
Centro_sur,1.4409304136392267,1.960986188216942,2.274808083396509,1.877622215372979,1.9777297217101797,1.886935694954903,2.3588327911909803,1.8364470500681254,1.8720904722947853,1.8988140011510979,1.8181924479462734,0.0,1.6903674836531435,1.853069668023015,2.007117146234925,2.2394621869915237,2.6188756998070026,1.8704686145715657,2.137823983718184,1.8089591744365743,2.8608156229789325,1.8495901145061904,1.9136760678108813,1.770734979104131
Chaco,1.1044055735944944,1.6244613481722097,1.938283243351777,1.5410973753282466,1.6412048816654474,1.5504108549101707,2.022307951146248,1.4999222100233933,1.535565632250053,1.5622891611063654,1.4816676079015412,1.6903674836531435,0.0,1.516544827978283,1.6705923061901926,1.9029373469467916,2.282350859762271,1.5339437745268336,1.8012991436734518,1.472434334391842,2.5242907829342,1.5130652744614583,1.577151227766149,1.4342101390593986
CONCEPCION,1.267107757964366,1.7871635325420812,2.100985427721648,1.7037995596981184,1.803907066035319,1.7131130392800422,2.1850101355161193,1.6626243943932648,1.6982678166199243,1.7249913454762371,1.6443697922714124,1.853069668023015,1.516544827978283,0.0,1.833294490560064,2.065639531316663,2.4450530441321416,1.6966459588967047,1.964001328043323,1.6351365187617135,2.6869929673040716,1.6757674588313296,1.7398534121360205,1.59691232342927
CORDILLERA,1.4211552361762758,1.9412110107539913,2.2550329059335588,1.8578470379100283,1.9579545442472288,1.8671605174919523,2.3390576137280297,1.8166718726051745,1.8523152948318344,1.8790388236881472,1.7984172704833226,2.007117146234925,1.6705923061901926,1.833294490560064,0.0,2.219687009528573,2.599100522344052,1.850693437108615,2.118048806255233,1.7891839969736238,2.8410404455159814,1.82981493704324,1.8939008903479306,1.75095980164118
GUAIRA,1.6535002769328748,2.1735560515105896,2.4873779466901573,2.090192078666627,2.1902995850038276,2.0995055582485507,2.5714026544846287,2.0490169133617733,2.0846603355884334,2.1113838644447456,2.0307623112399216,2.2394621869915237,1.9029373469467916,2.065639531316663,2.219687009528573,0.0,2.831445563100651,2.083038477865214,2.3503938470118317,2.0215290377302226,3.07338548627258,2.0621599777998387,2.1262459311045294,1.9833048423977788
ITAPUA,2.0329137897483536,2.552969564326069,2.8667914595056363,2.469605591482106,2.569713097819307,2.47891907106403,2.9508161673001077,2.4284304261772522,2.4640738484039124,2.490797377260225,2.4101758240554005,2.6188756998070026,2.282350859762271,2.4450530441321416,2.599100522344052,2.831445563100651,0.0,2.4624519906806928,2.7298073598273107,2.4009425505457016,3.45279899908806,2.4415734906153177,2.5056594439200084,2.362718355213258
Metropolitano,1.2845067045129166,1.8045624790906318,2.118384374270199,1.721198506246669,1.8213060125838698,1.7305119858285931,2.2024090820646705,1.6800233409418153,1.7156667631684754,1.7423902920247878,1.6617687388199631,1.8704686145715657,1.5339437745268336,1.6966459588967047,1.850693437108615,2.083038477865214,2.4624519906806928,0.0,1.9814002745918742,1.6525354653102644,2.7043919138526227,1.6931664053798805,1.7572523586845712,1.614311269977821
MISIONES,1.551862073659535,2.0719178482372502,2.3857397434168175,1.9885538753932872,2.0886613817304878,1.997867354975211,2.469764451211289,1.9473787100884339,1.9830221323150934,2.009745661171406,1.9291241079665813,2.137823983718184,1.8012991436734518,1.964001328043323,2.118048806255233,2.3503938470118317,2.7298073598273107,1.9814002745918742,0.0,1.9198908344568828,2.9717472829992406,1.9605217745264987,2.0246077278311896,1.881666639124439
NEEMBUCU,1.2229972643779252,1.7430530389556402,2.0568749341352075,1.6596890661116779,1.7597965724488784,1.6690025456936015,2.140899641929679,1.618513900806824,1.654157323033484,1.6808808518897964,1.600259298684972,1.8089591744365743,1.472434334391842,1.6351365187617135,1.7891839969736238,2.0215290377302226,2.4009425505457016,1.6525354653102644,1.9198908344568828,0.0,2.6428824737176306,1.6316569652448891,1.6957429185495796,1.5528018298428297
PARAGUARI,2.274853712920283,2.794909487497998,3.1087313826775653,2.7115455146540355,2.8116530209912356,2.720858994235959,3.1927560904720362,2.670370349349182,2.7060137715758414,2.7327373004321545,2.6521157472273296,2.8608156229789325,2.5242907829342,2.6869929673040716,2.8410404455159814,3.07338548627258,3.45279899908806,2.7043919138526227,2.9717472829992406,2.6428824737176306,0.0,2.683513413787247,2.747599367091938,2.604658278385187
Paraguay,1.2636282044475413,1.7836839790252565,2.097505874204824,1.700320006181294,1.8004275125184945,1.709633485763218,2.181530581999295,1.65914484087644,1.6947882631031002,1.7215117919594125,1.6408902387545883,1.8495901145061904,1.5130652744614583,1.6757674588313296,1.82981493704324,2.0621599777998387,2.4415734906153177,1.6931664053798805,1.9605217745264987,1.6316569652448891,2.683513413787247,0.0,1.736373858619196,1.5934327699124458
PTE_HAYES,1.327714157752232,1.8477699323299472,2.1615918275095143,1.7644059594859847,1.864513465823185,1.7737194390679083,2.2456165353039856,1.723230794181131,1.7588742164077906,1.7855977452641032,1.7049761920592788,1.9136760678108813,1.577151227766149,1.7398534121360205,1.8939008903479306,2.1262459311045294,2.5056594439200084,1.7572523586845712,2.0246077278311896,1.6957429185495796,2.747599367091938,1.736373858619196,0.0,1.6575187232171362
SAN_PEDRO,1.1847730690454816,1.704828843623197,2.0186507388027644,1.621464870779234,1.7215723771164348,1.6307783503611581,2.1026754465972357,1.5802897054743805,1.6159331277010403,1.6426566565573528,1.5620351033525282,1.770734979104131,1.4342101390593986,1.59691232342927,1.75095980164118,1.9833048423977788,2.362718355213258,1.614311269977821,1.881666639124439,1.5528018298428297,2.604658278385187,1.5934327699124458,1.6575187232171362,0.0
