,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.4057177351236046,0.503645906197212,0.43767893754409276,0.47643545940172327,0.45754214640434476,0.8579994221502688,0.43751898778219794,0.3888463368648902,0.42550992473319754,0.3933195285534699,0.5073297289392148,0.4772019637944256,0.5490578158327142,0.49391853654824275,0.7706833366282448,1.0363250753726252,0.3996782550629719,0.7566453029807718,0.449712059985206,1.1087156015553592,0.39929768940386384,0.6542193652860743,0.37377715467761247
ALTO_PARANA,0.4057177351236046,0.0,0.46978687510586936,0.4038199064527502,0.44257642831038063,0.4236831153130021,0.8241403910589263,0.4036599566908554,0.3549873057735476,0.39165089364185496,0.3594604974621274,0.4734706978478722,0.44334293270308295,0.5151987847413716,0.46005950545690016,0.7368243055369023,1.0024660442812825,0.36581922397162936,0.7227862718894292,0.4158530288938635,1.0748565704640167,0.3654386583125213,0.6203603341947317,0.3399181235862699
AMAMBAY,0.503645906197212,0.46978687510586936,0.0,0.5017480775263575,0.540504599383988,0.5216112863866095,0.9220685621325336,0.5015881277644627,0.4529154768471549,0.4895790647154623,0.4573886685357347,0.5713988689214795,0.5412711037766903,0.613126955814979,0.5579876765305074,0.8347524766105096,1.10039421535489,0.4637473950452366,0.8207144429630365,0.5137811999674707,1.172784741537624,0.4633668293861286,0.7182885052683391,0.4378462946598772
ASUNCION,0.43767893754409276,0.4038199064527502,0.5017480775263575,0.0,0.47453763073086885,0.4556443177334903,0.8561015934794144,0.43562115911134364,0.38694850819403576,0.4236120960623431,0.3914216998826155,0.5054319002683604,0.4753041351235711,0.5471599871618599,0.49202070787738833,0.7687855079573905,1.0344272467017708,0.39778042639211747,0.7547474743099173,0.4478142313143516,1.1068177728845046,0.39739986073300954,0.65232153661522,0.37187932600675805
BOQUERON,0.47643545940172327,0.44257642831038063,0.540504599383988,0.47453763073086885,0.0,0.4944008395911208,0.894858115337045,0.4743776809689741,0.4257050300516662,0.4623686179199736,0.43017822174024595,0.5441884221259908,0.5140606569812015,0.5859165090194902,0.5307772297350187,0.8075420298150208,1.0731837685594012,0.4365369482497479,0.7935039961675479,0.48657075317198206,1.1455742947421352,0.43615638259064,0.6910780584728503,0.41063584786438856
CAAGUAZU,0.45754214640434476,0.4236831153130021,0.5216112863866095,0.4556443177334903,0.4944008395911208,0.0,0.8759648023396664,0.45548436797159547,0.4068117170542877,0.443475304922595,0.41128490874286744,0.5252951091286123,0.4951673439838231,0.5670231960221117,0.5118839167376402,0.7886487168176424,1.054290455562023,0.4176436352523694,0.7746106831701693,0.46767744017460355,1.1266809817447567,0.41726306959326137,0.6721847454754718,0.39174253486701005
CAAZAPA,0.8579994221502688,0.8241403910589263,0.9220685621325336,0.8561015934794144,0.894858115337045,0.8759648023396664,0.0,0.8559416437175197,0.8072689928002118,0.8439325806685193,0.8117421844887915,0.9257523848745365,0.8956246197297473,0.9674804717680358,0.9123411924835644,1.1891059925635663,1.4547477313079469,0.8181009109982935,1.1750679589160935,0.8681347159205277,1.5271382574906809,0.8177203453391856,1.0726420212213958,0.7921998106129341
CANINDEYU,0.43751898778219794,0.4036599566908554,0.5015881277644627,0.43562115911134364,0.4743776809689741,0.45548436797159547,0.8559416437175197,0.0,0.38678855843214094,0.42345214630044836,0.39126175012072073,0.5052719505064656,0.4751441853616763,0.5470000373999651,0.49186075811549346,0.7686255581954956,1.034267296939876,0.3976204766302227,0.7545875245480226,0.44765428155245685,1.10665782312261,0.39723991097111466,0.6521615868533251,0.37171937624486323
CENTRAL,0.3888463368648902,0.3549873057735476,0.4529154768471549,0.38694850819403576,0.4257050300516662,0.4068117170542877,0.8072689928002118,0.38678855843214094,0.0,0.3747794953831405,0.34258909920341285,0.45659929958915774,0.4264715344443685,0.4983273864826572,0.44318810719818563,0.7199529072781878,0.9855946460225682,0.3489478257129148,0.7059148736307147,0.398981630635149,1.0579851722053022,0.34856726005380684,0.6034889359360173,0.32304672532755546
CENTRO_EST,0.42550992473319754,0.39165089364185496,0.4895790647154623,0.4236120960623431,0.4623686179199736,0.443475304922595,0.8439325806685193,0.42345214630044836,0.3747794953831405,0.0,0.3792526870717203,0.4932628874574651,0.46313512231267584,0.5349909743509645,0.47985169506649306,0.7566164951464951,1.0222582338908757,0.38561141358122225,0.7425784614990221,0.43564521850345633,1.0946487600736095,0.38523084792211426,0.6401525238043246,0.3597103131958628
CENTRO_NORTE,0.3933195285534699,0.3594604974621274,0.4573886685357347,0.3914216998826155,0.43017822174024595,0.41128490874286744,0.8117421844887915,0.39126175012072073,0.34258909920341285,0.3792526870717203,0.0,0.46107249127773753,0.43094472613294826,0.5028005781712369,0.4476612988867654,0.7244260989667675,0.9900678377111479,0.3534210174014946,0.7103880653192944,0.4034548223237288,1.0624583638938818,0.35304045174238663,0.6079621276245971,0.3275199170161352
CENTRO_SUR,0.5073297289392148,0.4734706978478722,0.5713988689214795,0.5054319002683604,0.5441884221259908,0.5252951091286123,0.9257523848745365,0.5052719505064656,0.45659929958915774,0.4932628874574651,0.46107249127773753,0.0,0.5449549265186932,0.6168107785569817,0.5616714992725104,0.8384362993525123,1.1040780380968929,0.4674312177872395,0.8243982657050394,0.5174650227094736,1.1764685642796266,0.46705065212813146,0.721972328010342,0.44153011740188003
CHACO,0.4772019637944256,0.44334293270308295,0.5412711037766903,0.4753041351235711,0.5140606569812015,0.4951673439838231,0.8956246197297473,0.4751441853616763,0.4264715344443685,0.46313512231267584,0.43094472613294826,0.5449549265186932,0.0,0.5866830134121925,0.531543734127721,0.8083085342077231,1.0739502729521035,0.43730345264245024,0.7942705005602502,0.4873372575646844,1.1463407991348376,0.4369228869833422,0.6918445628655526,0.4114023522570908
CONCEPCION,0.5490578158327142,0.5151987847413716,0.613126955814979,0.5471599871618599,0.5859165090194902,0.5670231960221117,0.9674804717680358,0.5470000373999651,0.4983273864826572,0.5349909743509645,0.5028005781712369,0.6168107785569817,0.5866830134121925,0.0,0.6033995861660096,0.8801643862460118,1.1458061249903924,0.5091593046807389,0.8661263525985388,0.5591931096029731,1.2181966511731261,0.508778739021631,0.7637004149038414,0.48325820429537947
CORDILLERA,0.49391853654824275,0.46005950545690016,0.5579876765305074,0.49202070787738833,0.5307772297350187,0.5118839167376402,0.9123411924835644,0.49186075811549346,0.44318810719818563,0.47985169506649306,0.4476612988867654,0.5616714992725104,0.531543734127721,0.6033995861660096,0.0,0.8250251069615402,1.0906668457059208,0.45402002539626735,0.8109870733140673,0.5040538303185016,1.1630573718886545,0.45363945973715936,0.7085611356193698,0.4281189250109079
GUAIRA,0.7706833366282448,0.7368243055369023,0.8347524766105096,0.7687855079573905,0.8075420298150208,0.7886487168176424,1.1891059925635663,0.7686255581954956,0.7199529072781878,0.7566164951464951,0.7244260989667675,0.8384362993525123,0.8083085342077231,0.8801643862460118,0.8250251069615402,0.0,1.367431645785923,0.7307848254762694,1.0877518733940692,0.7808186303985036,1.4398221719686568,0.7304042598171615,0.9853259356993719,0.70488372509091
ITAPUA,1.0363250753726252,1.0024660442812825,1.10039421535489,1.0344272467017708,1.0731837685594012,1.054290455562023,1.4547477313079469,1.034267296939876,0.9855946460225682,1.0222582338908757,0.9900678377111479,1.1040780380968929,1.0739502729521035,1.1458061249903924,1.0906668457059208,1.367431645785923,0.0,0.9964265642206499,1.3533936121384498,1.046460369142884,1.7054639107130372,0.996045998561542,1.2509676744437523,0.9705254638352905
METROPOLITANO,0.3996782550629719,0.36581922397162936,0.4637473950452366,0.39778042639211747,0.4365369482497479,0.4176436352523694,0.8181009109982935,0.3976204766302227,0.3489478257129148,0.38561141358122225,0.3534210174014946,0.4674312177872395,0.43730345264245024,0.5091593046807389,0.45402002539626735,0.7307848254762694,0.9964265642206499,0.0,0.7167467918287964,0.4098135488332308,1.0688170904033838,0.35939917825188855,0.6143208541340991,0.3338786435256371
MISIONES,0.7566453029807718,0.7227862718894292,0.8207144429630365,0.7547474743099173,0.7935039961675479,0.7746106831701693,1.1750679589160935,0.7545875245480226,0.7059148736307147,0.7425784614990221,0.7103880653192944,0.8243982657050394,0.7942705005602502,0.8661263525985388,0.8109870733140673,1.0877518733940692,1.3533936121384498,0.7167467918287964,0.0,0.7667805967510306,1.425784138321184,0.7163662261696885,0.9712879020518989,0.6908456914434371
NEEMBUCU,0.449712059985206,0.4158530288938635,0.5137811999674707,0.4478142313143516,0.48657075317198206,0.46767744017460355,0.8681347159205277,0.44765428155245685,0.398981630635149,0.43564521850345633,0.4034548223237288,0.5174650227094736,0.4873372575646844,0.5591931096029731,0.5040538303185016,0.7808186303985036,1.046460369142884,0.4098135488332308,0.7667805967510306,0.0,1.118850895325618,0.40943298317412274,0.6643546590563332,0.3839124484478713
PARAGUARI,1.1087156015553592,1.0748565704640167,1.172784741537624,1.1068177728845046,1.1455742947421352,1.1266809817447567,1.5271382574906809,1.10665782312261,1.0579851722053022,1.0946487600736095,1.0624583638938818,1.1764685642796266,1.1463407991348376,1.2181966511731261,1.1630573718886545,1.4398221719686568,1.7054639107130372,1.0688170904033838,1.425784138321184,1.118850895325618,0.0,1.0684365247442758,1.3233582006264861,1.0429159900180245
PARAGUAY,0.39929768940386384,0.3654386583125213,0.4633668293861286,0.39739986073300954,0.43615638259064,0.41726306959326137,0.8177203453391856,0.39723991097111466,0.34856726005380684,0.38523084792211426,0.35304045174238663,0.46705065212813146,0.4369228869833422,0.508778739021631,0.45363945973715936,0.7304042598171615,0.996045998561542,0.35939917825188855,0.7163662261696885,0.40943298317412274,1.0684365247442758,0.0,0.613940288474991,0.33349807786652913
PTE_HAYES,0.6542193652860743,0.6203603341947317,0.7182885052683391,0.65232153661522,0.6910780584728503,0.6721847454754718,1.0726420212213958,0.6521615868533251,0.6034889359360173,0.6401525238043246,0.6079621276245971,0.721972328010342,0.6918445628655526,0.7637004149038414,0.7085611356193698,0.9853259356993719,1.2509676744437523,0.6143208541340991,0.9712879020518989,0.6643546590563332,1.3233582006264861,0.613940288474991,0.0,0.5884197537487396
